"lang","file","name","size","source_url","description"
"en","_none.txt","_None_",0,"en/_none.txt","No stop word removal."
"en","galago_forumstop.txt","Galago (forumstop)",15,"https://sourceforge.net/p/lemur/galago/ci/default/tree/core/src/main/resources/stopwords/forumstop","Short list of forum slang. Included in the Lemur project."
"en","ebscohost_medline_cinahl.txt","EBSCOhost",24,"https://help.ebsco.com/interfaces/CINAHL_MEDLINE_Databases/CINAHL_and_MEDLINE_FAQs/stop_words_in_EBSCOhost_medical_databases","The stop words used in EBSCOhost medical databases MEDLINE and CINAHL"
"en","corenlp_hardcoded.txt","CoreNLP (Hardcoded)",28,"https://github.com/stanfordnlp/CoreNLP/blob/master/src/edu/stanford/nlp/coref/data/WordLists.java","Hardcoded in src/edu/stanford/nlp/coref/data/WordLists.java and the same in src/edu/stanford/nlp/dcoref/Dictionaries.java"
"en","ranksnl_oldgoogle.txt","Ranks NL (Google)",32,"http://www.ranks.nl/stopwords","The short stopwords list below is based on what we believed to be Google stopwords a decade ago, based on words that were ignored if you would search for them in combination with another word. (ie. as in the phrase ""a keyword"")."
"en","lucene_elastisearch.txt","Lucene, Solr, Elastisearch",33,"https://github.com/apache/lucene-solr/blob/master/lucene/core/src/java/org/apache/lucene/analysis/standard/StandardAnalyzer.java","(NOTE: Some config files have extra 's' and 't' as stopwords.) An unmodifiable set containing some common English words that are not usually useful for searching."
"en","mysql_innodb.txt","MySQL (InnoDB)",36,"http://dev.mysql.com/doc/refman/8.0/en/innodb-ft-default-stopword-table.html","A word that is used by default as a stopword for FULLTEXT indexes on InnoDB tables. Not used if you override the default stopword processing with either the innodb_ft_server_stopword_table or the innodb_ft_user_stopword_table option."
"en","ovid.txt","Ovid (Medical information services)",39,"http://resourcecenter.ovid.com/site/products/fieldguide/umda/Stopwords.jsp","Words of little intrinsic meaning that occur too frequently to be useful in searching text are known as ""stopwords."" You cannot search for the following stopwords by themselves, but you can include them within phrases."
"en","bow_short.txt","Bow (libbow, rainbow, arrow, crossbow)",48,"http://www.cs.cmu.edu/~mccallum/bow/src/bow-20020213.tar.gz","Bow: A Toolkit for Statistical Language Modeling, Text Retrieval, Classification and Clustering. Short list hardcoded. Also includes 524 SMART derived list, same as MALLET. See http://www.cs.cmu.edu/~mccallum/bow/rainbow/"
"en","lingpipe.txt","LingPipe",76,"http://alias-i.com/lingpipe/docs/api/com/aliasi/tokenizer/EnglishStopTokenizerFactory.html","An EnglishStopTokenizerFactory applies an English stop list to a contained base tokenizer factory"
"en","vw_lda.txt","Vowpal Wabbit (doc2lda)",83,"https://github.com/JohnLangford/vowpal_wabbit/blob/master/utl/vw-doc2lda","Stopwords used in LDA example"
"en","t101_minimal.txt","Text Analytics 101",85,"https://bitbucket.org/kganes2/text-mining-resources/downloads/minimal-stop.txt","Minimal list compiled by Kavita Ganesan consisting of determiners, coordinating conjunctions and prepositions http://text-analytics101.rxnlp.com/2014/10/all-about-stop-words-for-text-mining.html"
"en","lexisnexis.txt","LexisNexis®",100,"http://help.lexisnexis.com/tabula-rasa/totalpatent/noisewords_ref-reference?lbu=US&locale=en_US&audience=online","“The following are 'noise words' and are never searchable: EVER HARDLY HENCE INTO NOR WERE VIZ. Others are 'noisy keywords' and are searchable by enclosing them in quotes.”"
"en","okapi_cacm.txt","Okapi (gsl.cacm)",108,"http://www.staff.city.ac.uk/~andym/OKAPI-PACK/appendix-d.html","Cacm specific stoplist from Okapi"
"en","texfixer.txt","TextFixer",119,"http://www.textfixer.com/resources/common-english-words.txt","From textfixer.com Linked from Wiki page on Stop words."
"en","postgresql.txt","DKPro",127,"https://github.com/dkpro/dkpro-toolbox/tree/master/dkpro.toolbox.corpus-asl/src/main/resources/corpus/stopwords","Postgresql (Snowball derived)"
"en","postgresql.txt","Postgres",127,"https://www.postgresql.org/docs/9.1/static/textsearch-dictionaries.html#TEXTSEARCH-STOPWORDS","“Stop words are words that are very common, appear in almost every document, and have no discrimination value.”"
"en","corenlp_acronym.txt","CoreNLP (Acronym)",150,"https://github.com/stanfordnlp/CoreNLP/blob/master/src/edu/stanford/nlp/util/AcronymMatcher.java","A set of words that should be considered stopwords for the acronym matcher"
"en","nltk.txt","NLTK",153,"http://www.nltk.org/book/ch02.html","According to [email](https://groups.google.com/forum/#!topic/nltk-users/YVF0S0Q_8k4) Van Rij. Sbergen (1979) ""Information retrieval"" (Butterworths, London). It's slightly expanded from [postgres](http://anoncvs.postgresql.org/cvsweb.cgi/pgsql/src/backend/snowball/stopwords/english.stop) postgresql.txt which was borrowed from snowball presumably."
"en","nltk.txt","Spark ML lib",153,"https://github.com/apache/spark/blob/master/mllib/src/main/resources/org/apache/spark/ml/feature/stopwords/english.txt","(Note: Same as NLTK) They were obtained from [postgres](http://anoncvs.postgresql.org/cvsweb.cgi/pgsql/src/backend/snowball/stopwords/) The English list has been [augmented](https://github.com/nltk/nltk_data/issues/22)"
"en","snowball_original.txt","MongoDB",174,"https://github.com/mongodb/mongo/blob/master/src/mongo/db/fts/stop_words_english.txt","Commit says 'Changed stop words files to the snowball stop lists'"
"en","snowball_original.txt","Quanteda",174,"https://github.com/kbenoit/quantedaData/blob/master/stopwords/english.dat","Has SMART and Snowball Default Lists. [Source](https://github.com/kbenoit/quantedaData/blob/master/stopwords/makestopwords.R)"
"en","snowball_original.txt","Ranks NL (Default)",174,"http://www.ranks.nl/stopwords","(Note: Same as Default Snowball Stoplist, but RanksNL frequently cited as source) “This list is used in [Ranks NL] Page Analyzer and Article Analyzer for English text, when you let it use the default stopwords list.”"
"en","snowball_original.txt","Snowball (Original)",174,"https://github.com/snowballstem/snowball-website/blob/master/algorithms/english/stop.txt","Default Snowball Stoplist."
"en","snowball_original.txt","Xapian",174,"https://github.com/xapian/xapian/blob/master/xapian-core/languages/stopwords/english.txt","(Note: uses Snowball Stopwords) “It has been traditional in setting up IR systems to discard the very commonest words of a language - the stopwords - during indexing.”"
